paperId,abstract,year,referenceCount,citationCount,influentialCitationCount,year0_citation_count,year1_citation_count,year2_citation_count,year3_citation_count,year4_citation_count,year5_citation_count,year6_citation_count,year7_citation_count,year8_citation_count,year9_citation_count
55a63c2a72325a86de9a17814fb6243c132ac19a,"The problem of translating the theory of economic choice behavior into concrete models suitable for analyzing housing location is discussed. The analysis is based on the premise that the classical, economically rational consumer will choose a residential location by weighing the attributes of each available alternative and by selecting the alternative that maximizes utility. The assumption of independence in the commonly used multinomial logit model of choice is relaxed to permit a structure of perceived similarities among alternatives. In this analysis, choice is described by a multinomial logit model for aggregates of similar alternatives. Also discussed are methods for controlling the size of data collection and estimation tasks by sampling alternatives from the full set of alternatives. /Author/",1977,16,3010,247,0,1,4,6,9,11,14,15,28,19
096f17d9dc7437828ea3128c8463fdf41f19d577,This paper conceives of residential segregation as a multidimensional phenomenon varying along 5 distinct axes of measurement: evenness exposure concentration centralization and clustering. 20 indices of segregation are surveyed and related conceptually to 1 of the 5 dimensions. Using data from a large set of US metropolitan areas the indices are intercorrelated and factor analyzed. Orthogonal and oblique rotations produce pattern matrices consistent with the postulated dimensional structure. Based on the factor analyses and other information 1 index was chosen to represent each of the 5 dimensions and these selections were confirmed with a principal components analysis. The paper recommends adopting these indices as standard indicators in future studies of segregation. (authors),1988,59,2639,216,1,5,6,7,12,10,7,10,14,13
fbd9460a027b20e9ea1943d927eb6e9baf89282f,"Racial residential segregation is a fundamental cause of racial disparities in health. The physical separation of the races by enforced residence in certain areas is an institutional mechanism of racism that was designed to protect whites from social interaction with blacks. Despite the absence of supportive legal statutes, the degree of residential segregation remains extremely high for most African Americans in the United States. The authors review evidence that suggests that segregation is a primary cause of racial differences in socioeconomic status (SES) by determining access to education and employment opportunities. SES in turn remains a fundamental cause of racial differences in health. Segregation also creates conditions inimical to health in the social and physical environment. The authors conclude that effective efforts to eliminate racial disparities in health must seriously confront segregation and its pervasive consequences.",2001,121,1982,100,2,4,19,23,40,50,54,67,81,99
b26e0fa7b363f42e31bbde61356f5fcf24d509fd,"There is a growing interest in reducing energy consumption and the associated greenhouse gas emissions in every sector of the economy. The residential sector is a substantial consumer of energy in every country, and therefore a focus for energy consumption efforts. Since the energy consumption characteristics of the residential sector are complex and inter-related, comprehensive models are needed to assess the technoeconomic impacts of adopting energy efficiency and renewable energy technologies suitable for residential applications. The aim of this paper is to provide an up-to-date review of the various modeling techniques used for modeling residential sector energy consumption. Two distinct approaches are identified: top-down and bottom-up. The top-down approach treats the residential sector as an energy sink and is not concerned with individual end-uses. It utilizes historic aggregate energy values and regresses the energy consumption of the housing stock as a function of top-level variables such as macroeconomic indicators (e.g. gross domestic product, unemployment, and inflation), energy price, and general climate. The bottom-up approach extrapolates the estimated energy consumption of a representative set of individual houses to regional and national levels, and consists of two distinct methodologies: the statistical method and the engineering method. Each technique relies on different levels of input information, different calculation or simulation techniques, and provides results with different applicability. A critical review of each technique, focusing on the strengths, shortcomings and purposes, is provided along with a review of models reported in the literature.",2009,86,1570,84,5,26,53,88,90,115,155,167,200,192
51e640475b7811610c705378025330aa55944954,"The stress-threshold model (Wolpert, 1965; Brown and Moore, 1970) assumes that people do not consider moving unless they experience residential stress. This paper develops a similar model of residential mobility in which residential satisfaction acts as an intervening variable between individual and residence variables and mobility. The model is tested with data from a panel study of Rhode Island residents. The results indicate that residential satisfaction at the first interview is related to the wish to move and to mobility in the year following the interview. Individual and residence characteristics such as age of head duration of residence, home ownership, and room crowding are shown to affect mobility through their effect on residential satisfaction.",1974,31,391,24,0,0,1,2,1,1,0,0,0,0
2bacf1c33fdaa3a28c3b3eb6cbad94dfe7ed59a1,"The author considers the possibility that there is not, in fact, much hidden mass in galaxies and galaxy systems. If a certain modified version of the Newtonian dynamics is used to describe the motion of bodies in a gravitational field (of a galaxy, say), the observational results are reproduced with no need to assume hidden mass in appreciable quantities. Various characteristics of galaxies result with no further assumptions. The basis of the modification is the assumption that in the limit of small acceleration a very low a0, the acceleration of a particle at distance r from a mass M satisfies approximately a2/a0 a MGr-2, where a0 is a constant of the dimensions of an acceleration.",1983,2,2280,193,0,3,4,4,1,4,1,3,2,5
cffc507312c01839ef2dc32158f2ad3a57efa5ce,"Dispersions of solid spherical grains of diameter D = 0.13cm were sheared in Newtonian fluids of varying viscosity (water and a glycerine-water-alcohol mixture) in the annular space between two concentric drums. The density σ of the grains was balanced against the density ρ of the fluid, giving a condition of no differential forces due to radial acceleration. The volume concentration C of the grains was varied between 62 and 13 %. A substantial radial dispersive pressure was found to be exerted between the grains. This was measured as an increase of static pressure in the inner stationary drum which had a deformable periphery. The torque on the inner drum was also measured. The dispersive pressure P was found to be proportional to a shear stress λ attributable to the presence of the grains. The linear grain concentration λ is defined as the ratio grain diameter/mean free dispersion distance and is related to C by λ=1(C0/C)12−1 where C0 is the maximum possible static volume concentration. Both the stressesT and P, as dimensionless groups TσD2/λη2, and PσD2/λη 2, were found to bear single-valued empirical relations to a dimensionless shear strain group λ½σD2(dU/dy)lη for all the values of λ< 12(C= 57% approx.) where dU/dy is the rate of shearing of the grains over one another, and η the fluid viscosity. This relation gives Tασ(λD)2(dU/dy)2 and T∝λ12ηdU/dy according as dU/dy is large or small, i.e. according to whether grain inertia or fluid viscosity dominate. An alternative semi-empirical relation F = (1+λ)(1+½λ)ηdU/dy was found for the viscous case, when T is the whole shear stress. The ratio T/P was constant at 0·3 approx, in the inertia region, and at 0.75 approx, in the viscous region. The results are applied to a few hitherto unexplained natural phenomena.",1954,1,2296,201,0,0,0,0,0,0,1,0,0,1
d0a90be9e7d2ebb969e7c540b4d1cd4fcb93218e,,1959,0,2432,122,0,0,1,2,3,1,0,0,0,0
a88cc4d8e59e5105683ea299e4c9739e52ce2393,"This paper presents a systematic treatment of the linear theory of scalar gravitational perturbations in the synchronous gauge and the conformal Newtonian (or longitudinal) gauge. It differs from others in the literature in that we give, in both gauges, a complete discussion of all particle species that are relevant to any flat cold dark matter (CDM), hot dark matter (HDM), or CDM+HDM models (including a possible cosmological constant). The particles considered include CDM, baryons, photons, massless neutrinos, and massive neutrinos (an HDM candidate), where the CDM and baryons are treated as fluids while a detailed phase-space description is given to the photons and neutrinos. Particular care is applied to the massive neutrino component, which has been either ignored or approximated crudely in previous works. Isentropic initial conditions on superhorizon scales are derived. The coupled, linearized Boltzmann, Einstein, and fluid equations that govern the evolution of the metric and density perturbations are then solved numerically in both gauges for the standard CDM model and two CDM+HDM models with neutrino mass densities {Omega}{sub {nu}}=0.2 and 0.3, assuming a scale-invariant, adiabatic spectrum of primordial fluctuations. We also give the full details of the cosmic microwave background anisotropy, and present the first accurate calculationsmore » of the angular power spectra in the two CDM+HDM models including photon polarization, higher neutrino multipole moments, and helium recombination. The numerical programs for both gauges are available at http://arcturus.mit.edu/cosmics. {copyright} {ital 1995 The American Astronomical Society.}« less",1994,18,1277,86,0,2,4,11,15,16,15,12,16,24
d3482d91af463d97e64e4a6137f019066526a09a,"On the assumption that pseudoplastic flow is associated with the formation and rupture of structural linkages a new flow equation is derived. The equation takes the form 
ƞ = ƞ∞ + ƞ0 − ƞ∞1 + αD23, 
where D = rate of shear, η0 = limiting viscosity at zero rate of shear, η∞ = limiting viscosity at infinite rate of shear, and α is a constant associated with the rupture of linkages. 
 
Graphical methods for evaluating the three constants η0 , η∞ , and α are presented. 
 
Experimental data are presented on a wide range of pseudoplastic systems, ranging from suspensions to optically clear solutions, in both aqueous and nonaqueous media. In all cases the results conform to the equation with a high degree of accuracy over a wide range of shear rates.",1965,3,1451,68,0,8,2,6,3,4,3,1,2,0
