paperId,title,abstract,year,referenceCount,citationCount,influentialCitationCount,year0_citation_count,year1_citation_count,year2_citation_count,year3_citation_count,year4_citation_count,year5_citation_count,year6_citation_count,year7_citation_count,year8_citation_count,year9_citation_count
5a518cc28aadaa792280fbf71857c9bf03eeeff3,Beta adrenergic and muscarinic cholinergic receptors in canine myocardium. Effects of ischemia.,"Experimental myocardial ischemia produced in dogs by proximal left anterior descending coronary artery ligation is accompanied by relatively rapid (1 h) increases in the number of (-) [3H]dihydroalprenolol binding sites without changing their dissociation constants in ischemic left ventricular tissue. The changes, persist for at least 8 h and are accompanied by marked decreases in myocardial tissue ischemic region norepinephrine content. In contrast, in the same canine model 1 h of proximal left anterior descending coronary artery ligation did not result in a significant change in the number of [3H]quinuclidynl benzilate binding sites of their dissociation constants. However, the number of [3H]quinuclidynl benzilate binding sites (muscarinic cholinergic receptors) are 50--70% greater than (-) [3H]dihydroalprenolol binding sites (beta adrenergic receptors) in canine left ventricular tissue. Thus, the data suggest that proximal left anterior descending coronary artery occlusion for 1 h significantly increases the number of beta adrenergic receptors in ischemic left ventricular tissue without changing the number of muscarinic cholinergic receptors. Whether the ischemia-produced increase in cardiac beta-receptor content is causally related to increased cyclic AMP levels that develop in ischemic tissue and/or an etiologic factor in arrhythmias originating from ischemic myocardial tissue will have to be determined in additional studies.",1979,25,164,3,0,3,6,6,7,6,7,12,10,7
7b527987da4e2cde25a1b232fa27a06db06c7f8c,Cyclic carbopalladation of alkynes terminated by carbonylative amidation,"Abstract Termination of cyclic carbopalladation of alkynes via carbonylative lactamization can be achieved more satisfactorily with alkenyl or aryl halides containing an ω-sulfonamido group than with those containing an ω-amino group. The method appears to be generally satisfactory for the preparation of fused cyclic systems consisting of six-membered rings, while the other cases require further development.",1996,17,18,0,1,2,1,1,0,0,0,1,1,0
d568cd035758e22a867912493dd0171a031497b8,Rotaxane or Pseudorotaxane? That Is the Question!†,"A series of secondary dialkylammonium ions (RCH2)2NH2+ have been prepared, and their binding properties toward the macrocyclic polyether dibenzo[24]crown-8 (DB24C8) evaluated. By using this information, a route to a kinetically stable rotaxane-like entitystabilized by noncovalent bonding interactions between the DB24C8 macroring and the ammonium centerwas established, in which the crown ether slips over a dialkylammonium ion's stopper groups (R). However, we have found that the kinetic stability of this rotaxane-like entity is extremely dependent on the nature of the solvent in which it is dissolved, suggesting that pseudorotaxanes lie in the fuzzy domain between two sets of extremes, wherein a beadlike macrocycle and a dumbbell-like component may either (1) exist as a rotaxane or (2) be completely disassociated from one another.",1998,0,207,1,1,8,10,5,8,5,14,1,4,5
f782a35aa8019951ecfdb9347ccac8c0a9dea49b,"trans‐Halogeno‐alkyl(aryl)carbin‐tetracarbonyl‐Komplexe von Chrom, Molybdän und Wolfram–Ein neuer Verbindungstyp mit Übergangsmetall‐Kohlenstoff‐Dreifachbindung",,1973,5,142,0,1,9,13,13,6,7,1,4,1,2
6c445035edb516c4d431368e5bb7f5bd6b8faa6d,The Coherent Neutron Scattering Cross Sections of Nickel and Its Isotopes,,1950,0,3,0,0,0,0,0,1,0,0,0,0,0
ce8f5595729ec59ce4ff82f90174770f0fd52d60,Protein phosphorylation regulates secretion of Alzheimer beta/A4 amyloid precursor protein.,"Extracellular deposition of the beta/A4 amyloid peptide is a characteristic feature of the brain in patients with Alzheimer disease. beta/A4 amyloid is derived from the amyloid precursor protein (APP), an integral membrane protein that exists as three major isoforms (APP695, APP751, and APP770). Secreted forms of APP found in blood plasma and cerebrospinal fluid arise by proteolytic cleavage of APP within the beta/A4 amyloid domain, precluding the possibility of amyloidogenesis for that population of molecules. In the present study, we have demonstrated that treatment of PC12 cells with phorbol ester produces a severalfold increase in secretion of APP695, APP751, and APP770. This increase is augmented by simultaneous treatment with the protein phosphatase inhibitor okadaic acid. These data indicate that protein phosphorylation regulates intra-beta/A4 amyloid cleavage and APP secretion. These and other results suggest that APP molecules can normally follow either of two processing pathways: regulated secretion or proteolytic degradation unassociated with secretion.",1992,18,338,5,8,24,31,24,25,20,23,17,18,10
33c1e99ff96e2ad0e6ca5135e426b7273b8a2cdb,Stable carbonium ions. XXXIV. 1-Methylcyclopentyl cation,"1-Methyl-1-chlorocyclopentane, cyclopentylcarbinyl chloride, a n d cyclohexyl fluoride (chloride, bromide) i n SbF5-S02 solutions at -60’ gave a stable solution of the 1-methylcyclopentyl cation. T h e same ion is also formed when 1-methylcyclopentanol or cyclohexanol were dissolved in FSO3H-SbF6 solutions. I-Methylcyclopenteneandcyclohexene are protonated i n HF-SbFs-SO2 or FSOaH-SbF5-S02 solut ionto the 1-methylcyclopentyl cation, which is a lso formed by hydride abstraction from methylcyclopentane and cyclohexane i n FSOSH-SbFs solution. T h e structure of the 1-methylcyclopentyl cation was investigated based on its nmr spectrum. he acid-catalyzed isomerization of methylcycloT pentane and cyclohexane has long been recognized and studied and has provided much useful information concerning the carbonium ion chain mechanism f o r hydrocarbon isomerization. 4 , 5 In terms of product (1) Part XXXIII: G. A. Olah and J. M. Bollingrr, J . Am. Chem. Soc., in press. (2) For a preliminary report see G. A. Olah and M. W. Meyer in “Friedel-Crafts and Related Reactions,” Vol. I, G. A. Olah, Ed., Interscience Publishers, Inc., New York, N. Y., 1963, p 645. (3) (a) National Science Foundation Postdoctoral Research Investigator, 19661967. (b) National Institutes of Health Postdoctoral Research Investigator, 1966-1 967. (4) C. D. Nenitzescu and I. P. Cantuniari, Ber., 66, 1097 (1933). ( 5 ) For reviews see (a) H. Pines and N. E. Hoffman, “Friedel-Crafts and Related Reactions,” Vol. 11, Part 2, G. A. Olah, Ed., Interscience Publishers, Inc., New York, N. Y., 1964, Chapter 28; (b) F. E. Condon stability, cyclohexane is favored. The equilibrium mixture at 25” consists of 77% cyclohexane and 23% methylcyclopentane.6 In terms of carbonium ion stability, however, the t e r t i a r y m e t h y l c y c l o p e n t y l cation I should be favored over the secondary cyclohexyl cation 11. No good estimate is available concerning either the relative energy differences between these two and P. H. Emmett, Ed., “Catalysis,” Vol. VI, Reinhold Publishing Corp., New York, N. Y. 1958, Chapter 2. 16) A. L. Glasebrook and W. G. Lovell, J . Am. Chem. Soc., 61, 1717 (1939), reported in accordance with ref 2 that the equilibrium mixture at 25” consists of 77% cyclohexane and 23 % methylcyclopentane. D. P. Stevenson and J. H. Morgan, ibid., 70, 2773 (1948), found the equilibrium favors cyclohexane at lower temperatures, the amount of rnethylcyclopentane increasing with temperature. Journal of the American Chemical Society 89:ll May 24, 1967 D ow nl oa de d by T A R B IA T M O D A R R E S U N IV o n Ju ly 1 6, 2 00 9 Pu bl is he d on M ay 1 , 2 00 2 on h ttp :// pu bs .a cs .o rg | do i: 10 .1 02 1/ ja 00 98 7a 03 4",1967,0,43,0,1,2,0,2,0,0,5,1,0,0
1d43b78866f04f8c61679fdb721c94890fb4c2c1,"Charge Formation, Recombination, and Sweep-Out Dynamics in Organic Solar Cells","This article presents a critical discussion of the various physical processes occurring in organic bulk heterojunction (BHJ) solar cells based on recent experimental results. The investigations span from photoexcitation to charge separation, recombination, and sweep-out to the electrodes. Exciton formation and relaxation in poly[N-9?-hepta-decanyl-2,7-carbazole-alt-5,5-(4',7'-di-2-thienyl-2',1',3'-benzothiadiazole) (PCDTBT) and poly-3(hexylthiophene) (P3HT) are discussed based on a fluorescence up-conversion study. The commonly accepted paradigm describing the conversion of incident photons into charge carriers in the BHJ material is re-examined in light of these femtosecond time-resolved measurements. Transient photoconductivity, time-delayed collection field, and time-delayed dual pulse experiments carried out on BHJ solar cells demonstrate the competition between carrier sweep-out by the internal field and the loss of photogenerated carriers by recombination. Finally, an emerging hypothesis is discussed: that bimolecular recombination accounts for the majority of recombination from short circuit to open circuit in optimized solar cells, and that bimolecular recombination is bias- and charge-density-dependent. The study of recombination loss processes in organic solar cells leads to insights into what must be accomplished to achieve the ideal solar cell.",2012,126,283,3,11,44,45,31,30,30,22,30,25,15
8c5b465c2f09ce98553abff6823318a0695a2a38,Production of a cold atomic vapor using diode-laser cooling,We have used the light from diode lasers (λ = 852 nm) to damp the motion of atoms in a cesium vapor. We have been able to contain more than 107 atoms for 0.2 sec and cool them to a temperature of 100−30+100μK in this viscous photon medium (the so-called optical molasses).,1988,5,53,0,1,9,2,6,2,0,1,1,4,1
dfb57d95cc7c81b008a47170afff345185a08cfa,Use of antipeptide antibodies to demonstrate external orientation of the NH2-terminus of the low density lipoprotein receptor in the plasma membrane of fibroblasts,"The low density lipoprotein (LDL) receptor is a member of a class of receptors that bind macromolecules at the cell surface and facilitate their cellular uptake by receptor-mediated endocytosis. The orientation of the LDL receptor in the plasma membrane is unknown. In the current studies the sequence of amino acids at the NH2-terminus of the bovine adrenal LDL receptor was determined, and a synthetic peptide corresponding to amino acids 1-16 was prepared. Antibodies against this peptide were raised in rabbits and were shown by immunoblotting analysis to react specifically with the bovine LDL receptor. The anti- receptor peptide antibodies also bound to the LDL receptor on the outer surface of the plasma membrane of intact human fibroblasts, as visualized by indirect immunofluorescence. Specificity of this binding reaction was confirmed by the observation that the anti-receptor peptide antibodies did not bind to mutant fibroblasts from a patient with homozygous familial hypercholesterolemia that lack LDL receptors. These data demonstrate that the LDL receptor is oriented in the plasma membrane with its NH2-terminus facing the extracellular surface.",1983,33,54,2,0,3,4,9,3,4,2,2,1,3
